window,value,percentile,total_count
50,511,50.0,505
50,1023,90.0,160
50,1023,99.0,160
50,1023,99.9,160
50,1023,99.99,160
50,1023,99.999,160
50,1023,100.0,160
51,8,0.0,10
51,511,50.0,500
51,1023,90.0,160
51,1023,99.0,160
51,1023,99.9,160
51,1023,99.99,160
51,1023,99.999,160
51,1023,100.0,160
52,16,0.0,20
52,511,50.0,450
52,1023,90.0,189
52,1023,99.0,189
52,1023,99.9,189
52,1023,99.99,189
52,1023,99.999,189
52,1023,100.0,189
53,16,0.0,40
53,511,50.0,350
53,1023,90.0,280
53,1023,99.0,280
53,1023,99.9,280
53,1023,99.99,280
53,1023,99.999,280
53,1023,100.0,280
54,32,0.0,50
54,511,50.0,358
54,1023,90.0,262
54,1023,99.0,262
54,1023,99.9,262
54,1023,99.99,262
54,1023,99.999,262
54,1023,100.0,262
55,8,0.0,13
55,511,50.0,408
55,1023,90.0,162
55,1023,99.0,162
55,1023,99.9,162
55,1023,99.99,162
55,1023,99.999,162
55,1023,100.0,162
56,32,0.0,80
56,511,50.0,340
56,1023,90.0,240
56,1023,99.0,240
56,1023,99.9,240
56,1023,99.99,240
56,1023,99.999,240
56,1023,100.0,240
57,32,0.0,80
57,511,50.0,342
57,1023,90.0,238
57,1023,99.0,238
57,1023,99.9,238
57,1023,99.99,238
57,1023,99.999,238
57,1023,100.0,238
58,16,0.0,36
58,511,50.0,550
58,1023,90.0,139
58,1023,99.0,139
58,1023,99.9,139
58,1023,99.99,139
58,1023,99.999,139
58,1023,100.0,139
59,64,0.0,138
59,511,50.0,388
59,1023,90.0,200
59,1023,99.0,200
59,1023,99.9,200
59,1023,99.99,200
59,1023,99.999,200
59,1023,100.0,200
60,64,0.0,130
60,511,50.0,486
60,1023,90.0,214
60,1023,99.0,214
60,1023,99.9,214
60,1023,99.99,214
60,1023,99.999,214
60,1023,100.0,214
61,32,0.0,60
61,511,50.0,465
61,1023,90.0,200
61,1023,99.0,200
61,1023,99.9,200
61,1023,99.99,200
61,1023,99.999,200
61,1023,100.0,200
62,64,0.0,161
62,511,50.0,520
62,1023,90.0,150
62,1023,99.0,150
62,1023,99.9,150
62,1023,99.99,150
62,1023,99.999,150
62,1023,100.0,150
63,64,0.0,170
63,511,50.0,500
63,1023,90.0,160
63,1023,99.0,160
63,1023,99.9,160
63,1023,99.99,160
63,1023,99.999,160
63,1023,100.0,160
64,8,0.0,10
64,511,50.0,299
64,1023,90.0,340
64,1023,99.0,340
64,1023,99.9,340
64,1023,99.99,340
64,1023,99.999,340
64,1023,100.0,340
65,16,0.0,41
65,511,50.0,335
65,1023,90.0,265
65,1023,99.0,265
65,1023,99.9,265
65,1023,99.99,265
65,1023,99.999,265
65,1023,100.0,265
66,8,0.0,10
66,511,50.0,425
66,1023,90.0,165
66,1023,99.0,165
66,1023,99.9,165
66,1023,99.99,165
66,1023,99.999,165
66,1023,100.0,165
67,32,0.0,109
67,511,50.0,350
67,1023,90.0,230
67,1023,99.0,230
67,1023,99.9,230
67,1023,99.99,230
67,1023,99.999,230
67,1023,100.0,230
68,64,0.0,209
68,511,50.0,510
68,1023,90.0,200
68,1023,99.0,200
68,1023,99.9,200
68,1023,99.99,200
68,1023,99.999,200
68,1023,100.0,200
69,16,0.0,5
69,511,50.0,552
69,1023,90.0,139
69,1023,99.0,139
69,1023,99.9,139
69,1023,99.99,139
69,1023,99.999,139
69,1023,100.0,139
70,64,0.0,140
70,511,50.0,401
70,1023,90.0,190
70,1023,99.0,190
70,1023,99.9,190
70,1023,99.99,190
70,1023,99.999,190
70,1023,100.0,190
71,64,0.0,150
71,511,50.0,510
71,1023,90.0,170
71,1023,99.0,170
71,1023,99.9,170
71,1023,99.99,170
71,1023,99.999,170
71,1023,100.0,170
72,32,0.0,62
72,511,50.0,520
72,1023,90.0,140
72,1023,99.0,140
72,1023,99.9,140
72,1023,99.99,140
72,1023,99.999,140
72,1023,100.0,140
73,16,0.0,20
73,511,50.0,398
73,1023,90.0,242
73,1023,99.0,242
